Category: All categories

Month,bikes: (United States)
2004-01,50
2004-02,53
2004-03,66
2004-04,77
2004-05,88
2004-06,90
2004-07,100
2004-08,88
2004-09,78
2004-10,63
2004-11,57
2004-12,58
2005-01,51
2005-02,53
2005-03,58
2005-04,73
2005-05,73
2005-06,75
2005-07,91
2005-08,75
2005-09,69
2005-10,53
2005-11,49
2005-12,44
2006-01,44
2006-02,44
2006-03,57
2006-04,73
2006-05,82
2006-06,77
2006-07,88
2006-08,79
2006-09,64
2006-10,52
2006-11,46
2006-12,46
2007-01,40
2007-02,41
2007-03,65
2007-04,75
2007-05,89
2007-06,88
2007-07,93
2007-08,82
2007-09,73
2007-10,60
2007-11,56
2007-12,50
2008-01,44
2008-02,47
2008-03,63
2008-04,77
2008-05,86
2008-06,94
2008-07,94
2008-08,87
2008-09,72
2008-10,63
2008-11,55
2008-12,49
2009-01,45
2009-02,52
2009-03,65
2009-04,73
2009-05,83
2009-06,85
2009-07,93
2009-08,83
2009-09,74
2009-10,58
2009-11,55
2009-12,51
2010-01,46
2010-02,48
2010-03,66
2010-04,76
2010-05,77
2010-06,73
2010-07,80
2010-08,74
2010-09,62
2010-10,52
2010-11,46
2010-12,42
2011-01,43
2011-02,47
2011-03,57
2011-04,69
2011-05,74
2011-06,79
2011-07,82
2011-08,75
2011-09,65
2011-10,53
2011-11,50
2011-12,53
2012-01,48
2012-02,50
2012-03,61
2012-04,71
2012-05,74
2012-06,73
2012-07,75
2012-08,71
2012-09,62
2012-10,48
2012-11,45
2012-12,43
2013-01,39
2013-02,41
2013-03,48
2013-04,59
2013-05,65
2013-06,64
2013-07,67
2013-08,64
2013-09,54
2013-10,43
2013-11,42
2013-12,40
2014-01,37
2014-02,37
2014-03,46
2014-04,55
2014-05,60
2014-06,60
2014-07,65
2014-08,57
2014-09,48
2014-10,40
2014-11,38
2014-12,39
2015-01,34
2015-02,36
2015-03,46
2015-04,54
2015-05,57
2015-06,57
2015-07,59
2015-08,55
2015-09,48
2015-10,38
2015-11,37
2015-12,39
2016-01,31
2016-02,37
2016-03,44
2016-04,48
2016-05,53
2016-06,52
2016-07,55
2016-08,50
2016-09,44
2016-10,38
2016-11,38
2016-12,38
2017-01,32
2017-02,35
2017-03,39
2017-04,47
2017-05,48
2017-06,53
2017-07,54
2017-08,50
2017-09,42
2017-10,37
2017-11,37
2017-12,37
2018-01,30
2018-02,34
2018-03,38
2018-04,45
2018-05,51
2018-06,52
2018-07,53
2018-08,49
2018-09,42
2018-10,33
2018-11,32
2018-12,33
2019-01,28
2019-02,29
2019-03,36
2019-04,44
2019-05,47
2019-06,53
2019-07,51
2019-08,48
2019-09,44
2019-10,34
2019-11,33
2019-12,33
2020-01,30
2020-02,31
2020-03,38
2020-04,75
2020-05,98
2020-06,90
2020-07,79
2020-08,69
2020-09,57
2020-10,49
2020-11,44
2020-12,45
2021-01,39
2021-02,38
2021-03,55
2021-04,58
2021-05,55
2021-06,53
2021-07,52
2021-08,49
2021-09,43
2021-10,37
2021-11,36
2021-12,34
2022-01,31
2022-02,31
2022-03,40
2022-04,44
2022-05,40
