teamID,yearID,lgID,G,W,L,R,RA
ANA,2001,AL,162,75,87,691,730
ARI,2001,NL,162,92,70,818,677
ATL,2001,NL,162,88,74,729,643
BAL,2001,AL,162,63,98,687,829
BOS,2001,AL,161,82,79,772,745
CHA,2001,AL,162,83,79,798,795
CHN,2001,NL,162,88,74,777,701
CIN,2001,NL,162,66,96,735,850
CLE,2001,AL,162,91,71,897,821
COL,2001,NL,162,73,89,923,906
DET,2001,AL,162,66,96,724,876
FLO,2001,NL,162,76,86,742,744
HOU,2001,NL,162,93,69,847,769
KCA,2001,AL,162,65,97,729,858
LAN,2001,NL,162,86,76,758,744
MIL,2001,NL,162,68,94,740,806
MIN,2001,AL,162,85,77,771,766
MON,2001,NL,162,68,94,670,812
NYA,2001,AL,161,95,65,804,713
NYN,2001,NL,162,82,80,642,713
OAK,2001,AL,162,102,60,884,645
PHI,2001,NL,162,86,76,746,719
PIT,2001,NL,162,62,100,657,858
SDN,2001,NL,162,79,83,789,812
SEA,2001,AL,162,116,46,927,627
SFN,2001,NL,162,90,72,799,748
SLN,2001,NL,162,93,69,814,684
TBA,2001,AL,162,62,100,672,887
TEX,2001,AL,162,73,89,890,968
TOR,2001,AL,162,80,82,767,753
ANA,2002,AL,162,99,63,851,644
ARI,2002,NL,162,98,64,819,674
ATL,2002,NL,161,101,59,708,565
BAL,2002,AL,162,67,95,667,773
BOS,2002,AL,162,93,69,859,665
CHA,2002,AL,162,81,81,856,798
CHN,2002,NL,162,67,95,706,759
CIN,2002,NL,162,78,84,709,774
CLE,2002,AL,162,74,88,739,837
COL,2002,NL,162,73,89,778,898
DET,2002,AL,161,55,106,575,864
FLO,2002,NL,162,79,83,699,763
HOU,2002,NL,162,84,78,749,695
KCA,2002,AL,162,62,100,737,891
LAN,2002,NL,162,92,70,713,643
MIL,2002,NL,162,56,106,627,821
MIN,2002,AL,161,94,67,768,712
MON,2002,NL,162,83,79,735,718
NYA,2002,AL,161,103,58,897,697
NYN,2002,NL,161,75,86,690,703
OAK,2002,AL,162,103,59,800,654
PHI,2002,NL,161,80,81,710,724
PIT,2002,NL,161,72,89,641,730
SDN,2002,NL,162,66,96,662,815
SEA,2002,AL,162,93,69,814,699
SFN,2002,NL,162,95,66,783,616
SLN,2002,NL,162,97,65,787,648
TBA,2002,AL,161,55,106,673,918
TEX,2002,AL,162,72,90,843,882
TOR,2002,AL,162,78,84,813,828
ANA,2003,AL,162,77,85,736,743
ARI,2003,NL,162,84,78,717,685
ATL,2003,NL,162,101,61,907,740
BAL,2003,AL,163,71,91,743,820
BOS,2003,AL,162,95,67,961,809
CHA,2003,AL,162,86,76,791,715
CHN,2003,NL,162,88,74,724,683
CIN,2003,NL,162,69,93,694,886
CLE,2003,AL,162,68,94,699,778
COL,2003,NL,162,74,88,853,892
DET,2003,AL,162,43,119,591,928
FLO,2003,NL,162,91,71,751,692
HOU,2003,NL,162,87,75,805,677
KCA,2003,AL,162,83,79,836,867
