Month,pumpkin_trend,lag_5_value
2004-01,2,2.0
2004-02,2,2.0
2004-03,2,3.0
2004-04,2,8.0
2004-05,2,57.0
2004-06,2,17.0
2004-07,2,5.0
2004-08,3,2.0
2004-09,8,1.0
2004-10,57,2.0
2004-11,17,2.0
2004-12,5,2.0
2005-01,2,2.0
2005-02,1,2.0
2005-03,2,3.0
2005-04,2,8.0
2005-05,2,61.0
2005-06,2,20.0
2005-07,2,5.0
2005-08,3,2.0
2005-09,8,2.0
2005-10,61,2.0
2005-11,20,2.0
2005-12,5,2.0
2006-01,2,2.0
2006-02,2,2.0
2006-03,2,3.0
2006-04,2,9.0
2006-05,2,61.0
2006-06,2,21.0
2006-07,2,5.0
2006-08,3,2.0
2006-09,9,2.0
2006-10,61,2.0
2006-11,21,2.0
2006-12,5,2.0
2007-01,2,2.0
2007-02,2,2.0
2007-03,2,3.0
2007-04,2,11.0
2007-05,2,63.0
2007-06,2,23.0
2007-07,2,5.0
2007-08,3,2.0
2007-09,11,2.0
2007-10,63,2.0
2007-11,23,2.0
2007-12,5,2.0
2008-01,2,2.0
2008-02,2,2.0
2008-03,2,3.0
2008-04,2,11.0
2008-05,2,66.0
2008-06,2,25.0
2008-07,2,6.0
2008-08,3,3.0
2008-09,11,2.0
2008-10,66,2.0
2008-11,25,2.0
2008-12,6,2.0
2009-01,3,2.0
2009-02,2,2.0
2009-03,2,3.0
2009-04,2,12.0
2009-05,2,66.0
2009-06,2,27.0
2009-07,2,7.0
2009-08,3,3.0
2009-09,12,2.0
2009-10,66,2.0
2009-11,27,2.0
2009-12,7,2.0
2010-01,3,2.0
2010-02,2,2.0
2010-03,2,3.0
2010-04,2,12.0
2010-05,2,71.0
2010-06,2,28.0
2010-07,2,8.0
2010-08,3,5.0
2010-09,12,3.0
2010-10,71,2.0
2010-11,28,2.0
2010-12,8,2.0
2011-01,5,2.0
2011-02,3,2.0
2011-03,2,4.0
2011-04,2,17.0
2011-05,2,85.0
2011-06,2,34.0
2011-07,2,10.0
2011-08,4,5.0
2011-09,17,3.0
2011-10,85,3.0
2011-11,34,2.0
2011-12,10,3.0
2012-01,5,3.0
2012-02,3,3.0
2012-03,3,6.0
2012-04,2,21.0
2012-05,3,87.0
2012-06,3,34.0
2012-07,3,9.0
2012-08,6,5.0
2012-09,21,4.0
2012-10,87,3.0
2012-11,34,3.0
2012-12,9,3.0
2013-01,5,3.0
2013-02,4,3.0
2013-03,3,6.0
2013-04,3,23.0
2013-05,3,94.0
2013-06,3,36.0
2013-07,3,9.0
2013-08,6,5.0
2013-09,23,4.0
2013-10,94,3.0
2013-11,36,3.0
2013-12,9,3.0
2014-01,5,3.0
2014-02,4,4.0
2014-03,3,7.0
2014-04,3,24.0
2014-05,3,84.0
2014-06,3,35.0
2014-07,4,9.0
2014-08,7,4.0
2014-09,24,3.0
2014-10,84,3.0
2014-11,35,3.0
2014-12,9,3.0
2015-01,4,3.0
2015-02,3,4.0
2015-03,3,8.0
2015-04,3,24.0
2015-05,3,87.0
2015-06,3,32.0
2015-07,4,8.0
2015-08,8,4.0
2015-09,24,3.0
2015-10,87,3.0
2015-11,32,3.0
2015-12,8,3.0
2016-01,4,3.0
2016-02,3,4.0
2016-03,3,7.0
2016-04,3,24.0
2016-05,3,93.0
2016-06,3,29.0
2016-07,4,8.0
2016-08,7,4.0
2016-09,24,3.0
2016-10,93,3.0
2016-11,29,3.0
2016-12,8,3.0
2017-01,4,3.0
2017-02,3,4.0
2017-03,3,7.0
2017-04,3,24.0
2017-05,3,91.0
2017-06,3,29.0
2017-07,4,8.0
2017-08,7,4.0
2017-09,24,3.0
2017-10,91,3.0
2017-11,29,3.0
2017-12,8,3.0
2018-01,4,3.0
2018-02,3,4.0
2018-03,3,8.0
2018-04,3,25.0
2018-05,3,94.0
2018-06,3,30.0
2018-07,4,7.0
2018-08,8,4.0
2018-09,25,3.0
2018-10,94,3.0
2018-11,30,3.0
2018-12,7,3.0
2019-01,4,3.0
2019-02,3,4.0
2019-03,3,10.0
2019-04,3,26.0
2019-05,3,93.0
2019-06,3,31.0
2019-07,4,8.0
2019-08,10,4.0
2019-09,26,4.0
2019-10,93,4.0
2019-11,31,5.0
2019-12,8,5.0
2020-01,4,4.0
2020-02,4,5.0
2020-03,4,11.0
2020-04,5,32.0
2020-05,5,100.0
2020-06,4,33.0
2020-07,5,9.0
2020-08,11,5.0
2020-09,32,5.0
2020-10,100,4.0
2020-11,33,4.0
2020-12,9,4.0
2021-01,5,4.0
2021-02,5,5.0
2021-03,4,13.0
2021-04,4,31.0
2021-05,4,95.0
2021-06,4,31.0
2021-07,5,9.0
2021-08,13,5.0
2021-09,31,4.0
2021-10,95,4.0
2021-11,31,4.0
2021-12,9,
2022-01,5,
2022-02,4,
2022-03,4,
2022-04,4,
