date,year,week,cases
1928-01-01,1928,1,2938
1928-01-08,1928,2,3343
1928-01-15,1928,3,3208
1928-01-22,1928,4,3118
1928-01-29,1928,5,3743
1928-02-05,1928,6,3397
1928-02-12,1928,7,3616
1928-02-19,1928,8,3375
1928-02-26,1928,9,3744
1928-03-04,1928,10,4642
1928-03-11,1928,11,3974
1928-03-18,1928,12,4123
1928-03-25,1928,13,4281
1928-04-01,1928,14,4751
1928-04-08,1928,15,3843
1928-04-15,1928,16,4611
1928-04-22,1928,17,4675
1928-04-29,1928,18,5696
1928-05-06,1928,19,4490
1928-05-13,1928,20,3955
1928-05-20,1928,21,3633
1928-05-27,1928,22,2240
1928-06-03,1928,23,1771
1928-06-10,1928,24,1419
1928-06-17,1928,25,831
1928-06-24,1928,26,817
1928-07-01,1928,27,713
1928-07-08,1928,28,642
1928-07-15,1928,29,636
1928-07-22,1928,30,644
1928-07-29,1928,31,567
1928-08-05,1928,32,590
1928-08-12,1928,33,656
1928-08-19,1928,34,522
1928-08-26,1928,35,657
1928-09-02,1928,36,629
1928-09-09,1928,37,940
1928-09-16,1928,38,860
1928-09-23,1928,39,1212
1928-09-30,1928,40,1247
1928-10-07,1928,41,1251
1928-10-14,1928,42,1293
1928-10-21,1928,43,3728
1928-10-28,1928,44,5063
1928-11-04,1928,45,5180
1928-11-11,1928,46,6587
1928-11-18,1928,47,10290
1928-11-25,1928,48,23280
1928-12-02,1928,49,51510
1928-12-09,1928,50,162512
1928-12-16,1928,51,267871
1928-12-23,1928,52,181858
1929-01-06,1929,1,158500
1929-01-13,1929,2,100001
1929-01-20,1929,3,60495
1929-01-27,1929,4,27095
1929-02-03,1929,5,21078
1929-02-10,1929,6,11000
1929-02-17,1929,7,7115
1929-02-24,1929,8,16070
1929-03-03,1929,9,4489
1929-03-10,1929,10,3765
1929-03-17,1929,11,2765
1929-03-24,1929,12,2264
1929-03-31,1929,13,1811
1929-04-07,1929,14,1481
1929-04-14,1929,15,1044
1929-04-21,1929,16,1175
1929-04-28,1929,17,782
1929-05-05,1929,18,839
1929-05-12,1929,19,730
1929-05-19,1929,20,761
1929-05-26,1929,21,518
1929-06-02,1929,22,516
1929-06-09,1929,23,509
1929-06-16,1929,24,364
1929-06-23,1929,25,275
1929-06-30,1929,26,288
1929-07-07,1929,27,234
1929-07-14,1929,28,285
1929-07-21,1929,29,227
1929-07-28,1929,30,273
1929-08-04,1929,31,257
1929-08-11,1929,32,203
1929-08-18,1929,33,290
1929-08-25,1929,34,388
1929-09-01,1929,35,503
1929-09-08,1929,36,160
1929-09-15,1929,37,243
1929-09-22,1929,38,605
1929-09-29,1929,39,711
1929-10-06,1929,40,903
1929-10-13,1929,41,457
1929-10-20,1929,42,552
1929-10-27,1929,43,1217
1929-11-03,1929,44,1251
1929-11-10,1929,45,1467
1929-11-17,1929,46,1480
1929-11-24,1929,47,1455
1929-12-01,1929,48,2070
1929-12-08,1929,49,2397
1929-12-15,1929,50,1932
1929-12-22,1929,51,2064
1929-12-29,1929,52,2887
1930-01-05,1930,1,2976
1930-01-12,1930,2,2721
1930-01-19,1930,3,3012
1930-01-26,1930,4,3018
1930-02-02,1930,5,3373
1930-02-09,1930,6,3021
1930-02-16,1930,7,2666
1930-02-23,1930,8,2700
1930-03-02,1930,9,2596
1930-03-09,1930,10,2355
1930-03-16,1930,11,2086
1930-03-23,1930,12,2308
1930-03-30,1930,13,2135
1930-04-06,1930,14,1777
1930-04-13,1930,15,1445
1930-04-20,1930,16,1231
1930-04-27,1930,17,980
1930-05-04,1930,18,927
1930-05-11,1930,19,701
1930-05-18,1930,20,462
1930-05-25,1930,21,515
1930-06-01,1930,22,422
1930-06-08,1930,23,444
1930-06-15,1930,24,363
1930-06-22,1930,25,345
1930-06-29,1930,26,211
1930-07-06,1930,27,259
1930-07-13,1930,28,219
1930-07-20,1930,29,206
1930-07-27,1930,30,145
1930-08-03,1930,31,124
1930-08-10,1930,32,113
1930-08-17,1930,33,214
1930-08-24,1930,34,334
1930-08-31,1930,35,414
1930-09-07,1930,36,402
1930-09-14,1930,37,357
1930-09-21,1930,38,390
1930-09-28,1930,39,457
1930-10-05,1930,40,564
1930-10-12,1930,41,662
1930-10-19,1930,42,783
1930-10-26,1930,43,1009
1930-11-02,1930,44,1083
1930-11-09,1930,45,1175
1930-11-16,1930,46,1173
1930-11-23,1930,47,1257
1930-11-30,1930,48,1417
1930-12-07,1930,49,1501
1930-12-14,1930,50,1428
1930-12-21,1930,51,1200
1930-12-28,1930,52,1865
1931-01-04,1931,1,3231
1931-01-11,1931,2,4555
1931-01-18,1931,3,9842
1931-01-25,1931,4,15633
1931-02-01,1931,5,12464
1931-02-08,1931,6,14512
1931-02-15,1931,7,14002
1931-02-22,1931,8,13195
1931-03-01,1931,9,9983
1931-03-08,1931,10,9305
1931-03-15,1931,11,5589
1931-03-22,1931,12,6681
1931-03-29,1931,13,4931
1931-04-05,1931,14,3899
1931-04-12,1931,15,2696
1931-04-19,1931,16,2329
1931-04-26,1931,17,1747
1931-05-03,1931,18,1287
1931-05-10,1931,19,1156
1931-05-17,1931,20,726
1931-05-24,1931,21,764
1931-05-31,1931,22,731
1931-06-07,1931,23,489
1931-06-14,1931,24,397
1931-06-21,1931,25,296
1931-06-28,1931,26,238
1931-07-05,1931,27,157
1931-07-12,1931,28,188
1931-07-19,1931,29,299
1931-07-26,1931,30,288
1931-08-02,1931,31,203
1931-08-09,1931,32,224
1931-08-16,1931,33,222
1931-08-23,1931,34,306
1931-08-30,1931,35,318
1931-09-06,1931,36,401
1931-09-13,1931,37,521
1931-09-20,1931,38,561
1931-09-27,1931,39,387
1931-10-04,1931,40,523
1931-10-11,1931,41,602
1931-10-18,1931,42,615
1931-10-25,1931,43,742
1931-11-01,1931,44,826
1931-11-08,1931,45,1182
1931-11-15,1931,46,1044
1931-11-22,1931,47,986
1931-11-29,1931,48,1061
1931-12-06,1931,49,1241
1931-12-13,1931,50,1092
1931-12-20,1931,51,824
1931-12-27,1931,52,1432
1932-01-03,1932,1,1611
1932-01-10,1932,2,1923
1932-01-17,1932,3,2287
1932-01-24,1932,4,3039
1932-01-31,1932,5,5496
1932-02-07,1932,6,7176
1932-02-14,1932,7,7687
1932-02-21,1932,8,10728
1932-02-28,1932,9,14094
1932-03-06,1932,10,9387
1932-03-13,1932,11,12160
1932-03-20,1932,12,8359
1932-03-27,1932,13,9379
1932-04-03,1932,14,7513
1932-04-10,1932,15,5765
1932-04-17,1932,16,4145
1932-04-24,1932,17,3572
1932-05-01,1932,18,2236
1932-05-08,1932,19,1867
1932-05-15,1932,20,1555
1932-05-22,1932,21,943
1932-05-29,1932,22,857
1932-06-05,1932,23,669
1932-06-12,1932,24,566
1932-06-19,1932,25,479
1932-06-26,1932,26,333
1932-07-03,1932,27,365
1932-07-10,1932,28,400
1932-07-17,1932,29,292
1932-07-24,1932,30,322
1932-07-31,1932,31,362
1932-08-07,1932,32,409
1932-08-14,1932,33,415
