date,week,year,cases
1931-01-04,1,1931,3231
1931-01-11,2,1931,4555
1931-01-18,3,1931,9842
1931-01-25,4,1931,15633
1931-02-01,5,1931,12464
1931-02-08,6,1931,14512
1931-02-15,7,1931,14002
1931-02-22,8,1931,13195
1931-03-01,9,1931,9983
1931-03-08,10,1931,9305
1931-03-15,11,1931,5589
1931-03-22,12,1931,6681
1931-03-29,13,1931,4931
1931-04-05,14,1931,3899
1931-04-12,15,1931,2696
1931-04-19,16,1931,2329
1931-04-26,17,1931,1747
1931-05-03,18,1931,1287
1931-05-10,19,1931,1156
1931-05-17,20,1931,726
1931-05-24,21,1931,764
1931-05-31,22,1931,731
1931-06-07,23,1931,489
1931-06-14,24,1931,397
1931-06-21,25,1931,296
1931-06-28,26,1931,238
1931-07-05,27,1931,157
1931-07-12,28,1931,188
1931-07-19,29,1931,299
1931-07-26,30,1931,288
1931-08-02,31,1931,203
1931-08-09,32,1931,224
1931-08-16,33,1931,222
1931-08-23,34,1931,306
1931-08-30,35,1931,318
1931-09-06,36,1931,401
1931-09-13,37,1931,521
1931-09-20,38,1931,561
1931-09-27,39,1931,387
1931-10-04,40,1931,523
1931-10-11,41,1931,602
1931-10-18,42,1931,615
1931-10-25,43,1931,742
1931-11-01,44,1931,826
1931-11-08,45,1931,1182
1931-11-15,46,1931,1044
1931-11-22,47,1931,986
1931-11-29,48,1931,1061
1931-12-06,49,1931,1241
1931-12-13,50,1931,1092
1931-12-20,51,1931,824
1931-12-27,52,1931,1432
1932-01-03,1,1932,1611
1932-01-10,2,1932,1923
1932-01-17,3,1932,2287
1932-01-24,4,1932,3039
1932-01-31,5,1932,5496
1932-02-07,6,1932,7176
1932-02-14,7,1932,7687
1932-02-21,8,1932,10728
1932-02-28,9,1932,14094
1932-03-06,10,1932,9387
1932-03-13,11,1932,12160
1932-03-20,12,1932,8359
1932-03-27,13,1932,9379
1932-04-03,14,1932,7513
1932-04-10,15,1932,5765
1932-04-17,16,1932,4145
1932-04-24,17,1932,3572
1932-05-01,18,1932,2236
1932-05-08,19,1932,1867
1932-05-15,20,1932,1555
1932-05-22,21,1932,943
1932-05-29,22,1932,857
1932-06-05,23,1932,669
1932-06-12,24,1932,566
1932-06-19,25,1932,479
1932-06-26,26,1932,333
1932-07-03,27,1932,365
1932-07-10,28,1932,400
1932-07-17,29,1932,292
1932-07-24,30,1932,322
1932-07-31,31,1932,362
1932-08-07,32,1932,409
1932-08-14,33,1932,415
1932-08-21,34,1932,558
1932-08-28,35,1932,470
1932-09-04,36,1932,495
1932-09-11,37,1932,630
1932-09-18,38,1932,796
1932-09-25,39,1932,800
1932-10-02,40,1932,1094
1932-10-09,41,1932,1194
1932-10-16,42,1932,1539
1932-10-23,43,1932,1421
1932-10-30,44,1932,1758
1932-11-06,45,1932,2105
1932-11-13,46,1932,3735
1932-11-20,47,1932,7503
1932-11-27,48,1932,16930
1932-12-04,49,1932,31886
1932-12-11,50,1932,42935
1932-12-18,51,1932,52799
1932-12-25,52,1932,96155
1933-01-01,1,1933,76002
1933-01-08,2,1933,45148
1933-01-15,3,1933,26941
1933-01-22,4,1933,16384
1933-01-29,5,1933,11981
1933-02-05,6,1933,8367
1933-02-12,7,1933,6613
1933-02-19,8,1933,5311
1933-02-26,9,1933,4281
1933-03-05,10,1933,3744
1933-03-12,11,1933,2886
1933-03-19,12,1933,2685
1933-03-26,13,1933,2222
1933-04-02,14,1933,1711
1933-04-09,15,1933,1618
1933-04-16,16,1933,1214
1933-04-23,17,1933,1350
1933-04-30,18,1933,1046
1933-05-07,19,1933,912
1933-05-14,20,1933,708
1933-05-21,21,1933,607
1933-05-28,22,1933,645
1933-06-04,23,1933,556
1933-06-11,24,1933,399
1933-06-18,25,1933,302
1933-06-25,26,1933,303
1933-07-02,27,1933,335
1933-07-09,28,1933,359
1933-07-16,29,1933,300
1933-07-23,30,1933,361
